delta_rating,map_id,delta_map_wr_windowed,map_missing_flag,LAN_flag,h2h_shrunk,h2h_count
-69,2,-0.07,0,0,0,2
-63,2,0.08,0,1,0,2
-82,1,0.5,0,1,0,2
-10,1,0.0,0,0,0,0
-44,0,-1.0,0,0,1,1
28,2,0.5,0,1,0,0
-112,2,-0.17,0,0,0,0
11,2,-0.5,0,0,0,2
54,2,-0.3,0,1,1,1
16,6,-0.54,0,0,1,1
-4,4,-1.0,0,1,2,2
54,0,-0.62,0,0,0,2
57,1,-0.03,0,1,0,0
-10,4,1.0,0,1,0,4
161,4,-1.0,0,1,-1,1
-6,0,-1.0,0,1,0,4
-39,3,0,1,0,-1,1
5,0,1.0,0,0,0,0
51,6,0.0,0,1,0,4
-51,3,0.0,0,1,0,2
-71,5,0.7,0,0,0,0
-59,4,0.3,0,0,1,1
-76,1,0.07,0,0,5,5
-105,6,0.8,0,0,-1,1
12,4,0.67,0,0,0,0
98,4,-1.0,0,1,0,2
19,2,-0.08,0,1,3,3
31,6,-1.0,0,1,1,3
13,4,0,1,1,0,0
-3,2,0,1,1,0,0
-92,5,-0.33,0,0,-1,1
24,4,0.0,0,1,-1,1
-76,0,0.0,0,0,0,0
31,4,-1.0,0,1,-1,1
22,6,-1.0,0,1,0,0
-8,2,0.5,0,1,1,1
30,6,-0.17,0,1,0,2
183,1,0,1,1,-1,1
74,6,0.67,0,1,0,0
-7,5,1.0,0,1,1,3
-40,4,0.0,0,0,1,1
-62,6,1.0,0,0,2,4
-74,5,1.0,0,0,1,1
-98,5,-0.44,0,0,0,0
-21,3,0.33,0,0,0,0
-100,6,0.17,0,0,0,0
-23,0,0.5,0,0,1,1
-2,4,0.67,0,0,0,0
2,6,-0.04,0,1,-1,5
-203,1,0.64,0,1,2,2
21,5,-0.1,0,0,0,0
32,2,0.0,0,0,0,0
31,1,-1.0,0,1,1,1
-80,4,0.33,0,1,1,1
-15,1,-0.07,0,1,0,0
12,6,-0.17,0,0,1,1
25,0,1.0,0,0,0,2
-29,0,-0.42,0,1,0,0
-66,1,0.0,0,0,-1,1
-5,1,-0.04,0,0,1,1
9,3,-0.61,0,0,-6,16
-6,7,-0.5,0,1,1,3
-69,4,-0.22,0,0,1,1
-10,3,0.0,0,1,1,1
-62,2,0.17,0,0,4,6
3,4,0,1,1,0,0
41,1,0.39,0,0,-1,1
-33,3,0.5,0,0,0,2
-2,0,-0.3,0,0,1,3
4,3,-0.33,0,0,-2,2
109,2,-0.55,0,0,-1,1
-115,6,-1.0,0,1,0,2
-125,0,0.13,0,0,1,1
37,4,1.0,0,0,0,0
-23,0,0.33,0,1,0,0
46,1,0.25,0,0,-3,3
45,3,0.0,0,0,0,0
4,0,0.5,0,0,-1,1
-26,1,0.0,0,0,0,0
-20,3,0,1,1,0,0
3,3,-1.0,0,1,-1,1
14,6,0,1,1,0,0
-2,3,0.75,0,1,1,3
9,5,0.8,0,0,-5,11
-61,1,0,1,1,0,0
25,0,0.0,0,1,0,2
56,6,-0.31,0,0,-4,4
8,0,0.1,0,1,-2,4
-1,2,-0.5,0,1,0,0
-44,2,0,1,1,-1,1
-103,1,0.25,0,0,0,2
-157,5,0.0,0,1,1,1
10,6,0,1,0,1,1
-132,5,0.0,0,0,0,0
-26,6,-1.0,0,1,0,0
-33,1,0.25,0,0,1,1
68,1,-0.33,0,0,-1,1
19,4,0.5,0,1,-1,1
32,5,-1.0,0,1,-2,2
-24,2,-0.17,0,0,0,0
6,1,0.0,0,1,-1,1
-23,5,-0.62,0,1,-1,1
-132,4,0.5,0,1,0,0
58,2,1.0,0,1,0,2
-14,5,-0.83,0,0,-1,1
-11,2,-0.4,0,1,-1,1
-126,1,1.0,0,0,1,1
-117,0,-0.75,0,0,0,0
-11,5,0.0,0,1,0,0
-99,3,0.0,0,0,0,0
64,7,0.5,0,1,0,2
87,1,0.5,0,1,0,0
-5,2,0.23,0,0,0,0
106,4,-1.0,0,0,1,1
-22,4,-0.21,0,0,0,0
79,4,0.0,0,0,-1,1
4,2,-0.67,0,0,1,1
-19,2,0.12,0,0,-2,2
-42,1,-0.58,0,0,0,0
-117,0,-0.67,0,0,1,1
-9,3,0.4,0,1,1,5
-54,3,-1.0,0,0,0,0
22,4,0.0,0,0,1,1
65,5,-0.5,0,0,-5,5
56,1,0.31,0,1,0,2
-21,5,0,1,0,0,2
62,6,-0.1,0,0,0,0
-82,4,0.25,0,1,-1,1
-27,1,-0.1,0,0,-1,1
-33,0,-0.17,0,1,1,3
-87,4,0.33,0,0,1,1
-14,5,-0.17,0,0,1,3
2,0,-0.67,0,0,0,0
70,6,0,1,1,0,0
-25,5,-0.25,0,0,0,0
80,2,-0.25,0,1,0,0
-1,1,0.17,0,1,0,4
-5,3,-0.75,0,0,0,0
-14,5,0,1,0,0,2
-64,1,0.13,0,0,1,5
1,2,-1.0,0,1,0,0
-37,5,0.0,0,0,0,0
-69,5,0.0,0,0,0,0
-27,5,0.67,0,0,0,4
10,1,1.0,0,0,1,3
60,1,0.0,0,0,0,0
47,4,-0.67,0,1,-2,2
-1,4,0.5,0,1,1,3
-14,1,0.5,0,0,-1,1
-92,0,0.0,0,1,1,1
-69,4,-0.67,0,1,-1,7
-35,0,-1.0,0,1,1,3
26,3,-1.0,0,0,0,2
60,6,0.0,0,0,0,0
-6,6,-1.0,0,0,1,7
-8,6,-0.1,0,0,-2,4
54,4,0.38,0,0,1,1
42,0,0.0,0,1,0,0
-30,3,-0.75,0,0,0,0
-33,5,0.5,0,0,0,0
-1,6,0.1,0,1,-1,3
-11,5,0.0,0,0,-1,1
-97,5,0.2,0,0,0,2
